,gender,age,age_range,race,higher_education,political_party,ideology,trump_approval,monetary_anxiety,fairness_voting,preferential_voting,woman_president_25,universal_healthcare_25,humanity_survival_100,humanity_survival_1000,america_survival_100,america_survival_1000,trump_2020,trump_nuclear,america_vs_russia_50,america_vs_china_50,better_world
277,Male,80,65+,Black,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,No,No,No,,No,,Not at all likely,DK/REF,No,DK/REF,Worse World
278,Male,84,65+,White,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,Yes,DK/REF,Yes,DK/REF,Not at all likely,Not at all likely,No,No,Better World
279,Male,74,65+,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,DK/REF,Yes,DK/REF,No,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
280,Male,76,65+,White,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,DK/REF,No,DK/REF,DK/REF,Yes,DK/REF,Yes,DK/REF,Not at all likely,Somewhat Likely,DK/REF,No,Worse World
281,Female,65,65+,White,High school or less,Independent,DK/REF,Neither approve nor disapprove,DK/REF,No,Yes,Yes,No,No,,No,,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
282,Female,21,18-24,White,Some college,Independent,Liberal,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,No,Yes,No,Somewhat Likely,Not at all likely,Yes,Yes,Better World
283,Female,40,35-44,White,Some college,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Worse World
284,Male,18,18-24,White,High school or less,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
285,Male,56,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,,No,,Very Likely,Not at all likely,No,No,Worse World
286,Female,80,65+,White,Some college,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
287,Male,77,65+,DK/REF,Some college,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Yes,No,No,,DK/REF,,Not at all likely,DK/REF,Yes,DK/REF,Worse World
288,Female,57,55-64,White,College degree,DK/REF,Moderate,Strongly Disapprove,Somewhat Often,DK/REF,Yes,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,Yes,DK/REF
289,Other,44,35-44,White,Graduate degree,Independent,Conservative,Strongly Approve,Not Very Often,No,No,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
290,Female,24,18-24,White,College degree,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
291,Female,60,55-64,White,Graduate degree,Independent,Moderate,Somewhat Approve,Somewhat Often,No,No,Yes,No,Yes,No,No,,Not at all likely,Not at all likely,No,No,Worse World
292,Female,37,35-44,White,High school or less,Republican,DK/REF,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,,Yes,Yes,Very Likely,Very Likely,Yes,Yes,Worse World
293,Other,88,65+,Other,High school or less,Independent,Conservative,DK/REF,Very Often,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Very Likely,No,Yes,Worse World
294,Male,39,35-44,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
295,Male,56,55-64,White,College degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,No,Yes,No,Yes,Yes,No,,Somewhat Likely,Not at all likely,No,No,Better World
296,Male,25,25-34,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Yes,Yes,Very Likely,DK/REF,DK/REF,DK/REF,Better World
297,Female,51,45-54,White,College degree,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Yes,Yes,Very Likely,Somewhat Likely,DK/REF,No,Worse World
298,Female,58,55-64,Black,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Very Likely,Yes,No,Worse World
299,Female,19,18-24,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,No,No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
300,Male,43,35-44,White,Some college,DK/REF,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",DK/REF,Yes,No,No,,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
301,Female,21,18-24,White,College degree,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Better World
302,Male,25,25-34,White,High school or less,Democrat,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Worse World
303,Male,57,55-64,Latino,Graduate degree,Democrat,Conservative,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,Yes,No,Yes,No,Not at all likely,Not at all likely,Yes,No,Better World
304,Female,79,65+,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,No,No,Better World
305,Male,76,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Very Likely,No,No,Better World
306,Female,74,65+,White,Graduate degree,DK/REF,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
307,Female,57,55-64,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
308,Other,21,18-24,Asian,High school or less,DK/REF,DK/REF,Strongly Approve,DK/REF,No,No,No,No,Yes,Yes,Yes,Yes,DK/REF,Not at all likely,No,No,Worse World
309,Male,86,65+,White,High school or less,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,No,,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
310,Female,28,25-34,White,High school or less,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
311,Female,55,55-64,White,High school or less,DK/REF,DK/REF,Strongly Approve,Very Often,"Yes, very confident",No,Yes,No,No,,No,,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
312,Male,47,45-54,White,Some college,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,No,Yes,No,Very Likely,Not at all likely,No,Yes,Better World
313,Male,69,65+,White,College degree,Independent,Moderate,Somewhat Disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
314,Male,20,18-24,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,No,No,,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
315,Female,22,18-24,White,College degree,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
316,Male,65,65+,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
317,Male,65,65+,White,College degree,Republican,Conservative,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,DK/REF,No,Yes,Yes,Yes,DK/REF,Not at all likely,Not at all likely,No,No,Better World
318,Female,58,55-64,White,Some college,Independent,Conservative,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Worse World
319,Female,48,45-54,White,Graduate degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
320,Female,62,55-64,White,College degree,DK/REF,Moderate,DK/REF,Not Very Often,No,Yes,Yes,DK/REF,Yes,No,Yes,No,Somewhat Likely,Not at all likely,No,No,Better World
321,Male,47,45-54,Other,Some college,Republican,Conservative,Somewhat Approve,Somewhat Often,No,No,Yes,No,Yes,No,No,,Somewhat Likely,Not at all likely,No,No,Better World
322,Female,55,55-64,White,Graduate degree,Republican,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
323,Male,60,55-64,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
324,Female,78,65+,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,Yes,No,No,,No,,Somewhat Likely,Very Likely,No,No,Worse World
325,Male,80,65+,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
326,Female,54,45-54,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,No,No,,Not at all likely,Somewhat Likely,No,No,Worse World
327,Female,77,65+,White,High school or less,Democrat,Conservative,Strongly Disapprove,Not Very Often,DK/REF,DK/REF,No,Yes,DK/REF,,Yes,No,Somewhat Likely,Not at all likely,No,Yes,Worse World
328,Female,62,55-64,White,College degree,DK/REF,Conservative,Strongly Approve,Not Very Often,DK/REF,Yes,No,Yes,Yes,No,Yes,No,Very Likely,Not at all likely,DK/REF,DK/REF,Better World
329,Female,38,35-44,DK/REF,Graduate degree,Independent,DK/REF,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,Yes,Yes,Better World
330,Male,52,45-54,White,Some college,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
331,Female,75,65+,White,High school or less,DK/REF,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,DK/REF,Worse World
332,Female,27,25-34,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,Yes,No,Yes,Yes,No,,Somewhat Likely,Not at all likely,Yes,Yes,Better World
333,Female,28,25-34,Black,High school or less,Democrat,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,DK/REF,,DK/REF,,Not at all likely,Somewhat Likely,No,No,Better World
334,Female,50,45-54,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,Yes,No,Worse World
335,Female,32,25-34,Other,College degree,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Worse World
336,Male,58,55-64,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,No,No,Yes,Yes,Yes,No,Very Likely,Somewhat Likely,No,Yes,Worse World
337,Female,78,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,No,DK/REF,Yes,No,Yes,No,Very Likely,Somewhat Likely,DK/REF,DK/REF,Better World
338,Male,50,45-54,White,College degree,Independent,Conservative,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
339,Female,85,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,No,No,DK/REF,,DK/REF,,Very Likely,Not at all likely,No,No,Better World
340,Male,69,65+,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,No,Yes,Yes,No,No,,No,,Very Likely,Somewhat Likely,No,Yes,Worse World
341,Female,61,55-64,White,High school or less,Democrat,DK/REF,DK/REF,DK/REF,"Yes, very confident",Yes,DK/REF,DK/REF,DK/REF,,DK/REF,,DK/REF,Not at all likely,DK/REF,DK/REF,DK/REF
342,Female,84,65+,White,Some college,Republican,Liberal,Neither approve nor disapprove,Very Often,No,No,No,No,No,,Yes,No,Not at all likely,Not at all likely,No,No,Worse World
343,Female,70,65+,White,High school or less,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,No,No,No,,No,,Very Likely,Somewhat Likely,No,No,Worse World
344,Male,57,55-64,White,College degree,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Worse World
345,Male,72,65+,White,High school or less,Republican,Conservative,Strongly Approve,DK/REF,"Yes, very confident",Yes,Yes,No,DK/REF,,DK/REF,,Very Likely,Very Likely,DK/REF,DK/REF,DK/REF
346,Female,84,65+,White,Some college,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Yes,DK/REF,Very Likely,Not at all likely,No,No,Worse World
347,Male,82,65+,White,Some college,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,DK/REF,No,Yes,No,No,,Very Likely,Not at all likely,No,No,Better World
348,Male,62,55-64,White,College degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
349,Female,89,65+,White,Graduate degree,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,No,Yes,Yes,Yes,DK/REF,Yes,DK/REF,DK/REF,DK/REF,DK/REF,No,Better World
350,Female,84,65+,White,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,DK/REF,No,Yes,No,Yes,DK/REF,Yes,No,Not at all likely,Somewhat Likely,No,Yes,Worse World
351,Male,82,65+,Black,High school or less,Independent,Conservative,Somewhat Approve,Not Very Often,No,Yes,No,No,Yes,DK/REF,Yes,DK/REF,Very Likely,Not at all likely,No,No,Worse World
352,Male,80,65+,White,College degree,Independent,Conservative,Strongly Approve,Not Very Often,No,No,Yes,No,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Worse World
353,Female,67,65+,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,No,Yes,Yes,No,Yes,No,Not at all likely,Somewhat Likely,No,No,DK/REF
354,Male,59,55-64,White,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,No,,Yes,Yes,Not at all likely,Not at all likely,No,Yes,Worse World
355,Female,64,55-64,White,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Better World
356,Female,69,65+,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Yes,DK/REF,Not at all likely,Not at all likely,No,No,Worse World
357,Male,80,65+,White,Some college,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,DK/REF,,Yes,DK/REF,Not at all likely,DK/REF,No,No,DK/REF
358,Male,80,65+,White,High school or less,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,No,,No,,Very Likely,Not at all likely,Yes,Yes,Worse World
359,Female,88,65+,White,High school or less,Independent,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,No,,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
360,Female,87,65+,White,DK/REF,Democrat,Moderate,DK/REF,Not Very Often,DK/REF,No,No,Yes,DK/REF,,Yes,No,DK/REF,DK/REF,DK/REF,No,Better World
361,Male,85,65+,White,High school or less,DK/REF,Conservative,DK/REF,Not Very Often,No,No,Yes,Yes,No,,No,,DK/REF,DK/REF,No,No,DK/REF
362,Female,85,65+,White,High school or less,Independent,Conservative,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,No,DK/REF,No,,Yes,DK/REF,Not at all likely,DK/REF,No,DK/REF,Better World
363,Female,68,65+,White,High school or less,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,Yes,No,,No,,Not at all likely,Not at all likely,No,No,Worse World
364,Male,74,65+,White,High school or less,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,No,Yes,DK/REF,No,,No,,DK/REF,Not at all likely,No,No,DK/REF
365,Male,50,45-54,White,High school or less,DK/REF,DK/REF,DK/REF,Very Often,No,No,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,No,Worse World
366,Female,73,65+,White,Graduate degree,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
367,Female,60,55-64,Black,Some college,Independent,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,Yes,Worse World
368,Female,66,65+,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World
369,Female,88,65+,White,Graduate degree,Independent,Moderate,Somewhat Disapprove,Somewhat Often,DK/REF,No,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
370,Male,75,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,DK/REF,No,DK/REF,,No,,Very Likely,Not at all likely,No,DK/REF,Worse World
371,Male,85,65+,Asian,Graduate degree,Democrat,Moderate,DK/REF,Somewhat Often,DK/REF,No,Yes,Yes,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF
372,Female,71,65+,White,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,No,,No,,DK/REF,Not at all likely,Yes,Yes,Worse World
373,Female,69,65+,Black,Graduate degree,Democrat,Conservative,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,DK/REF,Yes,DK/REF,Yes,DK/REF,Not at all likely,Not at all likely,No,No,Better World
374,Male,63,55-64,White,College degree,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,No,,No,,Not at all likely,Somewhat Likely,No,No,Worse World
375,Male,68,65+,White,High school or less,Republican,Conservative,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,No,Yes,No,Somewhat Likely,Not at all likely,No,No,Better World
376,Female,63,55-64,White,Some college,DK/REF,Conservative,Strongly Disapprove,Very Often,DK/REF,Yes,Yes,Yes,No,,Yes,No,Not at all likely,Very Likely,Yes,Yes,Worse World
377,Female,58,55-64,White,High school or less,Independent,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,,No,,Not at all likely,Somewhat Likely,No,No,Worse World
378,DK/REF,21,18-24,White,High school or less,Independent,Moderate,Strongly Approve,Very Often,No,No,Yes,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,DK/REF
379,Female,70,65+,White,High school or less,DK/REF,DK/REF,Neither approve nor disapprove,Very Often,DK/REF,No,Yes,Yes,DK/REF,,No,,Not at all likely,Very Likely,DK/REF,DK/REF,DK/REF
380,Female,75,65+,White,Some college,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,No,,No,,Very Likely,Somewhat Likely,No,No,Worse World
381,Male,69,65+,DK/REF,Some college,Independent,Conservative,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,DK/REF,,Somewhat Likely,Not at all likely,No,Yes,Better World
382,Female,76,65+,White,Some college,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
383,Male,65,65+,Black,High school or less,Democrat,Conservative,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
384,Female,59,55-64,White,College degree,Democrat,Liberal,Neither approve nor disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,No,Yes,No,Not at all likely,Somewhat Likely,No,No,Better World
385,Female,84,65+,White,College degree,DK/REF,Conservative,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,DK/REF,Yes,DK/REF,Somewhat Likely,Not at all likely,No,No,Better World
386,Male,68,65+,White,Graduate degree,Democrat,Conservative,Somewhat Disapprove,Not Very Often,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World
387,Female,79,65+,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
388,Female,55,55-64,White,Some college,Republican,Conservative,Somewhat Approve,Somewhat Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Yes,Yes,Very Likely,Somewhat Likely,No,Yes,Better World
389,Female,63,55-64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Yes,No,Not at all likely,Very Likely,Yes,Yes,Worse World
390,Female,65,65+,White,High school or less,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,DK/REF,DK/REF,DK/REF,Yes,Yes,No,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
391,Female,63,55-64,White,College degree,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Worse World
392,Male,79,65+,White,High school or less,Republican,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
393,Male,92,65+,White,High school or less,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,Yes,DK/REF,Not at all likely,No,No,Worse World
394,Male,68,65+,White,College degree,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
395,Male,26,25-34,White,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,No,,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
396,Female,62,55-64,White,High school or less,DK/REF,Conservative,DK/REF,Not Very Often,DK/REF,DK/REF,No,Yes,Yes,Yes,DK/REF,,DK/REF,DK/REF,DK/REF,DK/REF,Better World
397,Female,56,55-64,White,College degree,DK/REF,Moderate,DK/REF,Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,No,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Better World
398,Male,53,45-54,White,College degree,Republican,Conservative,Strongly Approve,Somewhat Often,No,No,Yes,DK/REF,No,,No,,Very Likely,Not at all likely,No,No,Worse World
399,Female,61,55-64,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",DK/REF,Yes,Yes,DK/REF,,DK/REF,,Somewhat Likely,Somewhat Likely,No,No,Worse World
400,Female,60,55-64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
401,Male,56,55-64,White,Graduate degree,Independent,Moderate,Strongly Approve,Somewhat Often,No,No,Yes,No,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
402,Male,63,55-64,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,No,No,Better World
403,Male,80,65+,White,High school or less,Independent,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,No,No,,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
404,Female,37,35-44,Latino,High school or less,Independent,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",No,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
405,Male,65,65+,White,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,No,No,Yes,Yes,No,,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
406,Female,66,65+,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,Yes,No,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
407,Male,60,55-64,White,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,DK/REF,Yes,DK/REF,Very Likely,Not at all likely,No,No,Better World
408,Female,37,35-44,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,Yes,No,,No,,Very Likely,Very Likely,Yes,Yes,Worse World
409,Female,48,45-54,White,Graduate degree,Democrat,Moderate,Somewhat Approve,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
410,Female,68,65+,Asian,High school or less,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",Yes,No,Yes,No,,No,,Somewhat Likely,Not at all likely,No,No,Worse World
411,Male,30,25-34,Asian,Some college,Independent,Conservative,Strongly Approve,Very Often,"Yes, very confident",DK/REF,Yes,DK/REF,Yes,DK/REF,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
412,Male,60,55-64,White,College degree,Republican,Conservative,Strongly Approve,Very Often,"Yes, somewhat confident",No,Yes,No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
413,Female,60,55-64,White,College degree,Independent,DK/REF,DK/REF,Somewhat Often,No,No,Yes,No,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
414,Female,42,35-44,White,College degree,Republican,Conservative,Somewhat Approve,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,No,Yes,No,Very Likely,Not at all likely,No,No,Better World
415,Female,39,35-44,White,Graduate degree,Republican,Moderate,Somewhat Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,Yes,No,Yes,No,Not at all likely,Not at all likely,No,No,Better World
416,Female,78,65+,White,Some college,Republican,Conservative,DK/REF,Somewhat Often,"Yes, very confident",No,DK/REF,No,Yes,Yes,Yes,DK/REF,Very Likely,Somewhat Likely,No,No,DK/REF
417,Female,57,55-64,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,No,No,,Yes,No,Not at all likely,Not at all likely,Yes,No,Better World
